id,continent,region,whoRegion,admin0,admin0Id,admin0Fip,admin0Iso2,admin0Iso3,admin1,admin1Id,admin2,admin2Id,admin3Id,iusAdm,iusName,iuId,iuCode,year,endemicity,popReq,popTrg,popTreat,cov,epiCov,mdaScheme,endemicityId,popTot,popPreSAC,popSAC,popAdult,cumMda,mda,effMda,mdaN,effMdaN,epiMda,epiEffMda,epiMdaN,epiEffMdaN
57844,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2014,Endemic (MDA not delivered),459585,0,0,0,0,Not delivered,1,459585,64342,160855,234388,0,0,0,0,0,0,0,0,0
57845,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2015,Not reported,0,0,0,0,0,Not delivered,999,526459,68912,140193,299629,0,0,0,0,0,0,0,0,0
57846,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2016,Not reported,0,0,0,0,0,Not delivered,999,553730,70916,153746,311480,0,0,0,0,0,0,0,0,0
57847,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2017,Endemic (MDA not delivered),525933,0,0,0,0,Not delivered,1,525933,73631,184077,268226,0,0,0,0,0,0,0,0,0
57848,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2018,Endemic (under MDA),525460,444013,529119,119.17,100.7,ALB+IVM,2,525460,62530,140823,303190,1,1,1,1,1,1,1,1,1
57849,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2019,Endemic (under MDA),525933,595878,530935,89.1,100.95,ALB+IVM,2,525933,62586,140950,303463,2,1,1,2,2,1,1,2,2
57850,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2020,Endemic (MDA not delivered),584507,0,0,0,0,Not delivered,1,584507,69556,156648,337261,2,0,0,2,2,0,0,2,2
57851,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2021,Endemic (under MDA),597278,493909,428754,86.81,71.78,ALB+IVM,2,597278,71076,160071,344629,3,1,1,3,3,1,1,3,3
57852,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2022,Endemic (under MDA),620103,534405,753923,141.08,121.58,ALB+IVM,2,620103,68645,191550,342855,4,1,1,4,4,1,1,4,4
57853,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2023,Endemic (under MDA),647920,547493,860193,157.11,132.76,ALB+IVM,2,647920,74511,173643,373850,5,1,1,5,5,1,1,5,5
57854,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Juba,44319,0,ADM2,Juba,44319,SSD0457244319,2024,Endemic (under MDA),657867,555897,773744,139.19,117.61,ALB+IVM,2,657867,75655,176308,379589,6,1,1,6,6,1,1,6,6
57856,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2014,Endemic (MDA not delivered),290077,0,0,0,0,Not delivered,1,290077,40611,101527,147939,0,0,0,0,0,0,0,0,0
57857,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2015,Not reported,0,0,0,0,0,Not delivered,999,332285,43495,88486,189116,0,0,0,0,0,0,0,0,0
57858,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2016,Endemic (MDA not delivered),270138,0,0,0,0,Not delivered,1,270138,37819,94548,137770,0,0,0,0,0,0,0,0,0
57859,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2017,Endemic (MDA not delivered),331953,0,0,0,0,Not delivered,1,331953,46473,116184,169296,0,0,0,0,0,0,0,0,0
57860,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2018,Endemic (MDA not delivered),331655,0,0,0,0,Not delivered,1,331655,39467,88884,191365,0,0,0,0,0,0,0,0,0
57861,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2019,Endemic (MDA not delivered),331953,0,0,0,0,Not delivered,1,331953,39502,88963,191537,0,0,0,0,0,0,0,0,0
57862,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2020,Endemic (MDA not delivered),311504,0,0,0,0,Not delivered,1,311504,37069,83483,179738,0,0,0,0,0,0,0,0,0
57863,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2021,Endemic (under MDA),318949,263221,74781,28.41,23.45,ALB+IVM,2,318949,37955,85478,184034,1,1,0,1,0,1,0,1,0
57864,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2022,Endemic (under MDA),330475,284803,205683,72.22,62.24,ALB+IVM,2,330475,36584,102084,182719,2,1,1,2,1,1,0,2,0
57865,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2023,Endemic (under MDA),345299,291778,220865,75.7,63.96,ALB+IVM,2,345299,39709,92540,199238,3,1,1,3,2,1,0,3,0
57866,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Kajokeji,44320,0,ADM2,Kajokeji,44320,SSD0457244320,2024,Endemic (under MDA),350600,296257,220499,74.43,62.89,ALB+IVM,2,350600,40319,93961,202296,4,1,1,4,3,1,0,4,0
57868,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Lainya,44321,0,ADM2,Lainya,44321,SSD0457244321,2014,Endemic (MDA not delivered),131902,0,0,0,0,Not delivered,1,131902,18466,46166,67270,0,0,0,0,0,0,0,0,0
57869,Africa,Eastern Africa,AFRO,South Sudan,41,OD,SS,SSD,Central Equatoria,4572,Lainya,44321,0,ADM2,Lainya,44321,SSD0457244321,2015,Not reported,0,0,0,0,0,Not delivered,999,151093,19778,40235,85993,0,0,0,0,0,0,0,0,0
